date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:05:58	167/167	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Sep%202020%2021:05:57%20GMT	https://www.supremenewyork.com/robots.txt		(from )
03:05:59	6034/6034	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2021:05:58%20GMT	https://www.supremenewyork.com/	s/s/www.supremenewyork.com/index.html	(from )
03:06:00	381923/381923	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2021:05:59%20GMT	https://www.supremenewyork.com/ticket.js	s/s/www.supremenewyork.com/ticket.js	(from https://www.supremenewyork.com/)
03:06:00	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:00%20GMT	https://www.supremenewyork.com/index	s/s/www.supremenewyork.com/index	(from https://www.supremenewyork.com/)
03:06:02	67319/67319	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2021:06:01%20GMT	https://www.supremenewyork.com/news	s/s/www.supremenewyork.com/news.html	(from https://www.supremenewyork.com/)
03:06:02	16391/16391	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2021:06:02%20GMT	https://www.supremenewyork.com/previews/fallwinter2020	s/s/www.supremenewyork.com/previews/fallwinter2020.html	(from https://www.supremenewyork.com/)
03:06:03	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:03%20GMT	https://www.supremenewyork.com/lookbooks	s/s/www.supremenewyork.com/lookbooks	(from https://www.supremenewyork.com/)
03:06:04	16440/16440	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2021:06:04%20GMT	https://www.supremenewyork.com/shop	s/s/www.supremenewyork.com/shop.html	(from https://www.supremenewyork.com/)
03:06:05	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:05%20GMT	https://www.supremenewyork.com/random/kattwilliams	s/s/www.supremenewyork.com/random/kattwilliams	(from https://www.supremenewyork.com/)
03:06:06	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:06%20GMT	https://www.supremenewyork.com/about	s/s/www.supremenewyork.com/about	(from https://www.supremenewyork.com/)
03:06:07	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:07%20GMT	https://www.supremenewyork.com/stores	s/s/www.supremenewyork.com/stores	(from https://www.supremenewyork.com/)
03:06:08	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:08%20GMT	https://www.supremenewyork.com/contact	s/s/www.supremenewyork.com/contact	(from https://www.supremenewyork.com/)
03:06:09	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:09%20GMT	https://www.supremenewyork.com/mailinglist	s/s/www.supremenewyork.com/mailinglist	(from https://www.supremenewyork.com/)
03:06:10	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:10%20GMT	https://www.supremenewyork.com/random/tupac	s/s/www.supremenewyork.com/random/tupac	(from https://www.supremenewyork.com/)
03:06:11	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:11%20GMT	https://www.supremenewyork.com/news/805/images?image=0	s/s/www.supremenewyork.com/news/805/images0c37	(from https://www.supremenewyork.com/news)
03:06:12	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:12%20GMT	https://www.supremenewyork.com/news/804/images?image=0	s/s/www.supremenewyork.com/news/804/images0c37	(from https://www.supremenewyork.com/news)
03:06:13	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:13%20GMT	https://www.supremenewyork.com/news/802/images?image=0	s/s/www.supremenewyork.com/news/802/images0c37	(from https://www.supremenewyork.com/news)
03:06:14	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:14%20GMT	https://www.supremenewyork.com/news/801/images?image=0	s/s/www.supremenewyork.com/news/801/images0c37	(from https://www.supremenewyork.com/news)
03:06:15	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:15%20GMT	https://www.supremenewyork.com/news/800/images?image=0	s/s/www.supremenewyork.com/news/800/images0c37	(from https://www.supremenewyork.com/news)
03:06:16	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:16%20GMT	https://www.supremenewyork.com/news/799/images?image=0	s/s/www.supremenewyork.com/news/799/images0c37	(from https://www.supremenewyork.com/news)
03:06:17	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:17%20GMT	https://www.supremenewyork.com/news/798/images?image=0	s/s/www.supremenewyork.com/news/798/images0c37	(from https://www.supremenewyork.com/news)
03:06:18	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:18%20GMT	https://www.supremenewyork.com/news/797/images?image=0	s/s/www.supremenewyork.com/news/797/images0c37	(from https://www.supremenewyork.com/news)
03:06:19	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:19%20GMT	https://www.supremenewyork.com/news/795/images?image=0	s/s/www.supremenewyork.com/news/795/images0c37	(from https://www.supremenewyork.com/news)
03:06:20	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:20%20GMT	https://www.supremenewyork.com/news/794/images?image=0	s/s/www.supremenewyork.com/news/794/images0c37	(from https://www.supremenewyork.com/news)
03:06:21	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:21%20GMT	https://www.supremenewyork.com/news/792/images?image=0	s/s/www.supremenewyork.com/news/792/images0c37	(from https://www.supremenewyork.com/news)
03:06:22	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:22%20GMT	https://www.supremenewyork.com/news/791/images?image=0	s/s/www.supremenewyork.com/news/791/images0c37	(from https://www.supremenewyork.com/news)
03:06:23	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:23%20GMT	https://www.supremenewyork.com/news/790/images?image=0	s/s/www.supremenewyork.com/news/790/images0c37	(from https://www.supremenewyork.com/news)
03:06:24	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:24%20GMT	https://www.supremenewyork.com/news/789/images?image=0	s/s/www.supremenewyork.com/news/789/images0c37	(from https://www.supremenewyork.com/news)
03:06:25	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:25%20GMT	https://www.supremenewyork.com/news/788/images?image=0	s/s/www.supremenewyork.com/news/788/images0c37	(from https://www.supremenewyork.com/news)
03:06:26	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:26%20GMT	https://www.supremenewyork.com/news/787/images?image=0	s/s/www.supremenewyork.com/news/787/images0c37	(from https://www.supremenewyork.com/news)
03:06:27	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:27%20GMT	https://www.supremenewyork.com/news/786/images?image=0	s/s/www.supremenewyork.com/news/786/images0c37	(from https://www.supremenewyork.com/news)
03:06:28	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:28%20GMT	https://www.supremenewyork.com/news/785/images?image=0	s/s/www.supremenewyork.com/news/785/images0c37	(from https://www.supremenewyork.com/news)
03:06:29	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:29%20GMT	https://www.supremenewyork.com/previews/springsummer2020	s/s/www.supremenewyork.com/previews/springsummer2020	(from https://www.supremenewyork.com/news)
03:06:30	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:30%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/king-hooded-varsity-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/king-hooded-varsity-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:31	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:31%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/globe-ma-1	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/globe-ma-1	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:32	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:32%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/gore-tex-700-fill-down-parka	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/gore-tex-700-fill-down-parka	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:33	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:33%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/faux-fur-reversible-hooded-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/faux-fur-reversible-hooded-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:34	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:34%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/shirts/digi-floral-corduroy-shirt	s/s/www.supremenewyork.com/previews/fallwinter2020/shirts/digi-floral-corduroy-shirt	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:35	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:35%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-vanson-leathers-worn-leather-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-vanson-leathers-worn-leather-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:36	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:36%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/reflective-speckled-down-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/reflective-speckled-down-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:37	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:37%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-toshio-saeki-work-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-toshio-saeki-work-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:38	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:38%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-smurfs-gore-tex-shell-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-smurfs-gore-tex-shell-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:39	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:39%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/black-ark-denim-trucker-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/black-ark-denim-trucker-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:40	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:40%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/hooded-down-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/hooded-down-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:41	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:41%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/reversible-colorblocked-fleece-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/reversible-colorblocked-fleece-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:42	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:42%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/tops-sweaters/patchwork-velour-l-s-polo	s/s/www.supremenewyork.com/previews/fallwinter2020/tops-sweaters/patchwork-velour-l-s-polo	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:43	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:43%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/watches-reversible-puffy-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/watches-reversible-puffy-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:44	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:44%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/aerial-tapestry-harrington-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/aerial-tapestry-harrington-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:45	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:45%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/penguins-hooded-fleece-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/penguins-hooded-fleece-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:46	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:46%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/chains-quilted-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/chains-quilted-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:47	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:47%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-smurfs-denim-trucker-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-smurfs-denim-trucker-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:48	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:48%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/technical-field-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/technical-field-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:49	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:49%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/sweatshirts/big-stitch-hooded-sweatshirt	s/s/www.supremenewyork.com/previews/fallwinter2020/sweatshirts/big-stitch-hooded-sweatshirt	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:50	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:50%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/t-shirts/pharoah-sanders-tee	s/s/www.supremenewyork.com/previews/fallwinter2020/t-shirts/pharoah-sanders-tee	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:51	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:51%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/script-logos-wool-overcoat	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/script-logos-wool-overcoat	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:52	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:52%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/tops-sweaters/crochet-hooded-zip-up-sweater	s/s/www.supremenewyork.com/previews/fallwinter2020/tops-sweaters/crochet-hooded-zip-up-sweater	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:53	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:53%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/shirts/quilted-flannel-shirt	s/s/www.supremenewyork.com/previews/fallwinter2020/shirts/quilted-flannel-shirt	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:54	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:54%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-refrigiwear-insulated-iron-tuff-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/supreme-refrigiwear-insulated-iron-tuff-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:55	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:55%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/hats/reflective-speckled-camp-cap	s/s/www.supremenewyork.com/previews/fallwinter2020/hats/reflective-speckled-camp-cap	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:56	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:56%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/sweatshirts/big-logo-paneled-zip-up-hooded-sweatshirt	s/s/www.supremenewyork.com/previews/fallwinter2020/sweatshirts/big-logo-paneled-zip-up-hooded-sweatshirt	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:57	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:57%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/tops-sweaters/dragon-hockey-jersey	s/s/www.supremenewyork.com/previews/fallwinter2020/tops-sweaters/dragon-hockey-jersey	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:58	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:58%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/jackets/tlaxcala-blanket-jacket	s/s/www.supremenewyork.com/previews/fallwinter2020/jackets/tlaxcala-blanket-jacket	(from https://www.supremenewyork.com/previews/fallwinter2020)
03:06:59	13/13	---M--	403	error ('Forbidden')	text/plain	date:Wed,%2009%20Sep%202020%2021:06:59%20GMT	https://www.supremenewyork.com/previews/fallwinter2020/pants/cargo-pant	s/s/www.supremenewyork.com/previews/fallwinter2020/pants/cargo-pant	(from https://www.supremenewyork.com/previews/fallwinter2020)
